Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_payment_history_multi_year	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_payment_status	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_payment_status_enhanced	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_term_attendance_summary	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_term_performance	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_transport_summary	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_student_uniform_balance	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_teacher_weekly_load	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_term_expected_days	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_timetable_entries	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_uniform_sales_analytics	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_uniform_sales_summary	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_uniform_stock_matrix	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_unread_announcements	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_upcoming_class_schedules	check	status	OK
Table	Op	Msg_type	Msg_text
KingsWayAcademy.vw_upcoming_exam_schedules	check	status	OK
