EVENT_NAME	STATUS	EVENT_TYPE	EXECUTE_AT	INTERVAL_VALUE	INTERVAL_FIELD	LAST_EXECUTED
communication_event_fee_students	PRIMARY	0	2	0
communication_event_inquiries	PRIMARY	0	2	0
communication_event_messages	fk_comm_event_message_source	1	1	0
communication_event_messages	PRIMARY	0	2	0
communication_event_school_events	fk_comm_event_school_source	1	1	0
communication_event_school_events	PRIMARY	0	2	0
communication_groups	created_by	1	1	0
communication_groups	idx_type	1	1	0
communication_groups	PRIMARY	0	1	0
communication_preferences	idx_comm_preference_lookup	1	3	0
communication_preferences	PRIMARY	0	1	0
communication_preferences	uq_comm_preference	0	3	0
communication_recipients	communication_id	1	1	11
communication_recipients	idx_comm_recipient_delivery	1	1	5
communication_recipients	PRIMARY	0	1	11
communication_recipients	recipient_id	1	1	2
communication_recipient_endpoints	idx_endpoint_provider	1	1	0
communication_recipient_endpoints	idx_endpoint_queue	1	2	0
communication_recipient_endpoints	PRIMARY	0	1	0
communication_recipient_endpoints	uq_comm_recipient_channel	0	2	0
communication_template_catalog	idx_comm_template_status	1	1	2
communication_template_catalog	PRIMARY	0	1	14
communication_template_catalog	uq_comm_template_code	0	1	14
communication_template_channels	idx_comm_template_provider	1	2	2
communication_template_channels	PRIMARY	0	1	14
communication_template_channels	uq_comm_template_channel	0	3	14
communication_template_values	PRIMARY	0	2	0
communication_template_variables	PRIMARY	0	1	40
communication_template_variables	uq_comm_template_variable	0	2	40
communication_template_versions	idx_comm_template_version_status	1	2	14
communication_template_versions	PRIMARY	0	1	14
communication_template_versions	uq_comm_template_version	0	2	14
communication_threads	idx_comm_thread_status	1	2	0
communication_threads	PRIMARY	0	1	0
communication_thread_inquiries	PRIMARY	0	2	0
communication_thread_inquiries	uq_comm_inquiry_thread	0	1	0
communication_thread_internal_conversations	PRIMARY	0	2	0
communication_thread_internal_conversations	uq_comm_internal_thread	0	1	0
communication_thread_messages	idx_comm_thread_message_order	1	2	0
communication_thread_messages	PRIMARY	0	1	0
communication_workflow_instances	idx_comm_workflow_initiator	1	1	2
communication_workflow_instances	idx_comm_workflow_status	1	1	2
communication_workflow_instances	PRIMARY	0	1	8
communication_workflow_instances	uq_comm_workflow	0	2	8
conduct_tracking	fk_ct_recorded_by	1	1	0
conduct_tracking	fk_ct_term	1	1	0
conduct_tracking	idx_rating	1	1	0
conduct_tracking	idx_student	1	1	0
conduct_tracking	PRIMARY	0	1	0
conduct_tracking	uk_conduct	0	3	0
contact_directory	contact_type	1	1	2
contact_directory	idx_contact_directory_department_id	1	1	4
contact_directory	linked_id	1	1	4
contact_directory	PRIMARY	0	1	4
contact_inquiries	idx_contact_inquiries_created_at	1	1	0
contact_inquiries	idx_contact_inquiries_email	1	1	0
contact_inquiries	idx_contact_inquiries_phone	1	1	0
contact_inquiries	idx_contact_inquiries_status	1	1	0
contact_inquiries	idx_contact_inquiries_updated_at	1	1	0
contact_inquiries	PRIMARY	0	1	0
conversation_participants	participant_id	1	1	2
conversation_participants	PRIMARY	0	1	15
conversation_participants	uk_conversation_participant	0	2	15
core_competencies	PRIMARY	0	1	8
core_competencies	uk_code	0	1	8
core_values	PRIMARY	0	1	7
core_values	uk_code	0	1	7
counseling_cases	idx_assigned_to	1	1	0
counseling_cases	idx_priority	1	1	0
counseling_cases	idx_staff_id	1	1	0
counseling_cases	idx_status	1	1	0
counseling_cases	idx_student_id	1	1	0
counseling_cases	PRIMARY	0	1	0
counseling_cases	uk_case_code	0	1	0
counseling_sessions	idx_case_id	1	1	0
counseling_sessions	idx_session_date	1	1	0
counseling_sessions	PRIMARY	0	1	0
csl_activities	fk_csl_organized_by	1	1	0
csl_activities	idx_activity_date	1	1	0
csl_activities	idx_status	1	1	0
csl_activities	PRIMARY	0	1	0
daily_meal_allocations	class_id	1	1	0
daily_meal_allocations	created_by	1	1	0
daily_meal_allocations	idx_daily_meal_allocations_boarding_house_id	1	1	0
daily_meal_allocations	idx_date_house	1	2	0
daily_meal_allocations	PRIMARY	0	1	0
daily_meal_allocations	uk_meal_allocation	0	3	0
dashboards	fk_dashboards_route	1	1	17
dashboards	idx_dashboards_active	1	1	2
dashboards	idx_dashboards_domain	1	1	4
dashboards	name	0	1	17
dashboards	PRIMARY	0	1	17
deduction_types	idx_category	1	1	12
deduction_types	PRIMARY	0	1	12
deduction_types	uk_code	0	1	12
departments	idx_head	1	1	2
departments	idx_status	1	1	2
departments	PRIMARY	0	1	16
departments	uk_code	0	1	16
department_attendance_rules	department_id	0	1	0
department_attendance_rules	PRIMARY	0	1	0
depreciation_schedule	idx_depr_year	1	1	0
depreciation_schedule	PRIMARY	0	1	0
depreciation_schedule	uq_depr_asset_year	0	2	0
disbursement_transactions	idx_disbursement_conv	1	1	0
disbursement_transactions	idx_disbursement_originator	1	1	0
disbursement_transactions	idx_disbursement_payroll	1	1	0
disbursement_transactions	idx_disbursement_payslip	1	1	0
disbursement_transactions	idx_disbursement_recipient	1	1	0
disbursement_transactions	idx_disbursement_refund	1	1	0
disbursement_transactions	idx_disbursement_request	1	1	0
disbursement_transactions	idx_disbursement_status	1	1	0
disbursement_transactions	idx_disbursement_statutory_attempt	1	1	0
disbursement_transactions	idx_disbursement_txn_ref	1	1	0
disbursement_transactions	PRIMARY	0	1	0
discipline_incidents	idx_discipline_incidents_academic_year_term_id	1	1	3
discipline_incidents	PRIMARY	0	1	3
discipline_incidents	uk_incident_enr_term_date	0	3	3
dormitories	code	0	1	6
dormitories	dormitories_ibfk_1	1	1	2
dormitories	dormitories_ibfk_2	1	1	2
dormitories	PRIMARY	0	1	6
dormitory_assignments	idx_dorm	1	1	0
dormitory_assignments	idx_dormitory_assignments_academic_year_id	1	1	0
dormitory_assignments	PRIMARY	0	1	0
dormitory_assignments	uq_active_assignment	0	2	0
emergency_contacts	PRIMARY	0	1	0
emergency_contacts	uk_emergency_person_name	0	2	0
equipment_maintenance	idx_equipment_status	1	2	0
equipment_maintenance	idx_next_date	1	1	0
equipment_maintenance	maintenance_type_id	1	1	0
equipment_maintenance	PRIMARY	0	1	0
equipment_maintenance_types	idx_status	1	1	2
equipment_maintenance_types	PRIMARY	0	1	5
equipment_maintenance_types	uk_code	0	1	5
exam_schedules	idx_exam_schedules_academic_year_class_stream_id	1	1	0
exam_schedules	idx_exam_schedules_academic_year_term_id	1	1	0
exam_schedules	idx_exam_schedules_created_at	1	1	0
exam_schedules	idx_exam_schedules_exam_date	1	1	0
exam_schedules	idx_exam_schedules_invigilator_id	1	1	0
exam_schedules	idx_exam_schedules_learning_area_id	1	1	0
exam_schedules	idx_exam_schedules_room_id	1	1	0
exam_schedules	idx_exam_schedules_status	1	1	0
exam_schedules	idx_exam_schedules_supervisor_id	1	1	0
exam_schedules	idx_exam_schedules_updated_at	1	1	0
exam_schedules	PRIMARY	0	1	0
expenses	idx_expenses_budget_line_item_id	1	1	0
expenses	idx_expenses_category_id	1	1	0
expenses	idx_expenses_department_id	1	1	0
expenses	idx_expenses_vendor_id	1	1	0
expenses	idx_expense_date	1	1	0
expenses	idx_expense_period	1	1	0
expenses	idx_expense_status	1	1	0
expenses	PRIMARY	0	1	0
expense_categories	idx_expense_categories_parent_id	1	1	2
expense_categories	PRIMARY	0	1	30
expense_categories	uq_expense_category_code	0	1	30
external_emails	idx_email_type	1	1	0
external_emails	idx_external_emails_external_reference_id	1	1	0
external_emails	idx_external_emails_template_id	1	1	0
external_emails	idx_recipient_email	1	1	0
external_emails	idx_status	1	1	0
external_emails	institution_id	1	1	0
external_emails	PRIMARY	0	1	0
external_emails	sent_by	1	1	0
external_inbound_media	idx_external_inbound_media_message	1	1	0
external_inbound_media	PRIMARY	0	1	0
external_inbound_messages	idx_external_inbound_thread	1	1	2
external_inbound_messages	linked_parent_id	1	1	2
external_inbound_messages	linked_student_id	1	1	2
external_inbound_messages	linked_user_id	1	1	2
external_inbound_messages	PRIMARY	0	1	12
external_inbound_messages	uq_external_inbound_provider_message	0	2	2
external_institutions	idx_institution_type	1	1	0
external_institutions	idx_status	1	1	0
external_institutions	PRIMARY	0	1	0
fee_catalog	idx_fee_catalog_fee_type_id	1	1	7
fee_catalog	idx_fee_catalog_student_type_id	1	1	2
fee_catalog	PRIMARY	0	1	7
fee_catalog	uk_fee_catalog_code	0	1	7
fee_credit_notes	credit_number	0	1	0
fee_credit_notes	idx_fee_credit_notes_applied_to_term_id	1	1	0
fee_credit_notes	idx_fee_credit_notes_source_transaction_id	1	1	0
fee_credit_notes	idx_fee_credit_notes_term_id	1	1	0
fee_credit_notes	idx_status	1	1	0
fee_credit_notes	idx_student	1	1	0
fee_credit_notes	idx_year	1	1	0
fee_credit_notes	PRIMARY	0	1	0
fee_discounts_waivers	idx_approved_by	1	1	0
fee_discounts_waivers	idx_fee_discounts_waivers_term_id	1	1	0
fee_discounts_waivers	idx_obligation	1	1	0
fee_discounts_waivers	idx_status	1	1	0
fee_discounts_waivers	idx_student_year	1	2	0
fee_discounts_waivers	idx_type	1	1	0
fee_discounts_waivers	PRIMARY	0	1	0
fee_reminders	idx_fee_reminders_term_id	1	1	0
fee_reminders	idx_parent	1	1	0
fee_reminders	idx_status	1	1	0
fee_reminders	idx_student_term	1	3	0
fee_reminders	idx_type	1	1	0
fee_reminders	PRIMARY	0	1	0
fee_types	code	0	1	23
fee_types	idx_category	1	1	11
fee_types	idx_code	1	1	23
fee_types	idx_status	1	1	2
fee_types	PRIMARY	0	1	23
financial_periods	closed_by	1	1	0
financial_periods	idx_date_range	1	2	0
financial_periods	idx_financial_period_status	1	3	0
financial_periods	idx_status	1	1	0
financial_periods	PRIMARY	0	1	0
fixed_assets	idx_asset_category	1	1	0
fixed_assets	idx_asset_status	1	1	0
fixed_assets	idx_fixed_assets_expense_id	1	1	0
fixed_assets	idx_fixed_assets_supplier_id	1	1	0
fixed_assets	PRIMARY	0	1	0
fixed_assets	uq_asset_code	0	1	0
food_consumption_records	idx_consumption_date	1	1	0
food_consumption_records	inventory_item_id	1	1	0
food_consumption_records	meal_plan_id	1	1	0
food_consumption_records	PRIMARY	0	1	0
food_consumption_records	recorded_by	1	1	0
formative_scores	idx_fs_assessment	1	1	0
formative_scores	idx_fs_student	1	1	0
formative_scores	PRIMARY	0	1	0
formative_scores	uq_formative_score	0	2	0
form_permissions	PRIMARY	0	1	0
form_permissions	uk_code	0	1	0
forum_posts	author_id	1	1	0
forum_posts	PRIMARY	0	1	0
forum_posts	reply_to_id	1	1	0
forum_posts	thread_id	1	1	0
forum_threads	created_by	1	1	2
forum_threads	forum_type	1	1	4
forum_threads	PRIMARY	0	1	39
gallery_items	idx_active_order	1	2	6
gallery_items	PRIMARY	0	1	6
grade_rules	idx_scale_marks	1	3	8
grade_rules	PRIMARY	0	1	8
grade_rules	uk_scale_grade	0	2	8
